height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,short_pos,fee,window,league,season
182,70,Algeria,73,73,Left,2,3,4,2022.0,76,66,56,75,59,80,79,74,69,77,72,69,75,63,73,71,58,61,53,70,50,27,73,72,68,73,71,24,23,12,6,15,7,15,29.0,Right Winger,RW,4000000.0,summer,Premier League,2021
182,70,Algeria,73,73,Left,2,3,4,2022.0,76,66,56,75,59,80,79,74,69,77,72,69,75,63,73,71,58,61,53,70,50,27,73,72,68,73,71,24,23,12,6,15,7,15,29.0,Right Winger,RW,3000000.0,summer,Super Lig,2021
178,72,Italy,72,86,Left,1,3,2,2023.0,78,30,57,67,33,68,52,39,62,72,78,75,64,68,70,36,58,68,49,35,56,62,68,44,49,67,75,72,69,6,9,11,6,5,22.0,Left-Back,LB,4500000.0,summer,Serie A,2021
188,75,Denmark,72,83,Left,1,4,3,2024.0,65,72,64,68,59,75,70,62,60,74,83,82,70,64,74,74,69,65,67,71,62,24,74,65,68,68,78,34,24,13,8,7,7,11,22.0,Right Winger,RW,6400000.0,winter,Jupiler Pro League,2021
183,70,Gambia,72,83,Right,1,3,3,2021.0,45,76,63,66,60,74,50,36,40,71,79,84,73,70,55,70,53,49,66,64,40,20,75,55,58,67,17,20,16,8,6,14,14,12,22.0,Left Winger,LW,9000000.0,summer,Serie A,2021
183,70,Gambia,72,83,Right,1,3,3,2021.0,45,76,63,66,60,74,50,36,40,71,79,84,73,70,55,70,53,49,66,64,40,20,75,55,58,67,17,20,16,8,6,14,14,12,22.0,Left Winger,LW,14340000.0,summer,Serie A,2021
190,83,England,72,82,Right,1,2,1,2021.0,14,16,20,26,16,17,15,13,26,22,43,47,38,70,37,52,48,30,46,14,32,28,12,37,20,54,59,21,20,72,68,69,71,73,25.0,Goalkeeper,GK,5000000.0,summer,Premier League,2021
180,75,England,72,82,Right,1,3,4,2022.0,65,69,39,68,55,77,66,67,58,76,85,85,83,64,76,67,41,67,52,54,42,42,70,67,54,60,64,37,37,12,12,11,11,15,21.0,Right Winger,RW,12000000.0,summer,Eredivisie,2021
179,68,Austria,72,82,Left,1,3,4,2021.0,62,68,56,71,60,79,72,63,63,76,81,76,77,70,74,67,73,68,57,65,54,38,70,69,65,72,31,36,35,13,10,13,6,8,22.0,Left Winger,LW,9500000.0,summer,Ger Bundesliga,2021
179,68,Austria,72,82,Left,1,3,4,2021.0,62,68,56,71,60,79,72,63,63,76,81,76,77,70,74,67,73,68,57,65,54,38,70,69,65,72,31,36,35,13,10,13,6,8,22.0,Left Winger,LW,2000000.0,summer,Ger Bundesliga,2021
190,81,Croatia,72,82,Right,1,3,3,2024.0,51,76,70,60,73,70,61,62,57,71,76,73,59,70,51,74,65,68,75,66,67,31,69,62,64,69,72,32,31,15,11,10,10,6,23.0,Centre-Forward,CF,8000000.0,summer,Liga Portugal,2021
178,76,Romania,72,81,Right,1,3,3,2025.0,69,66,47,74,57,68,73,73,72,73,66,67,75,70,81,73,73,90,59,67,74,60,68,73,64,69,20,66,60,5,8,14,10,14,24.0,Attacking Midfield,AM,6500000.0,summer,Super Lig,2021
187,85,Italy,72,80,Left,1,3,3,2024.0,72,49,68,69,36,72,50,37,66,71,77,76,66,69,62,67,57,73,77,48,72,64,59,56,45,60,65,70,68,11,14,6,7,13,23.0,Left-Back,LB,2500000.0,summer,Serie A,2021
190,81,Netherlands,72,80,Left,1,3,2,2021.0,31,23,70,70,30,50,37,33,72,70,59,64,64,69,62,48,68,72,76,24,68,74,36,35,35,63,35,74,73,11,13,14,7,9,23.0,Centre-Back,CB,1200000.0,winter,Eredivisie,2021
190,81,Netherlands,72,80,Left,1,3,2,2021.0,31,23,70,70,30,50,37,33,72,70,59,64,64,69,62,48,68,72,76,24,68,74,36,35,35,63,35,74,73,11,13,14,7,9,23.0,Centre-Back,CB,1200000.0,summer,Ger Bundesliga,2021
190,81,Netherlands,72,80,Left,1,3,2,2021.0,31,23,70,70,30,50,37,33,72,70,59,64,64,69,62,48,68,72,76,24,68,74,36,35,35,63,35,74,73,11,13,14,7,9,23.0,Centre-Back,CB,1200000.0,summer,Ger Bundesliga,2021
190,81,Netherlands,72,80,Left,1,3,2,2021.0,31,23,70,70,30,50,37,33,72,70,59,64,64,69,62,48,68,72,76,24,68,74,36,35,35,63,35,74,73,11,13,14,7,9,23.0,Centre-Back,CB,1200000.0,winter,Ger Bundesliga,2021
