height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
177,76,United States,60,72,Right,1,3,2,2018,22,Central Midfield,CM,1200000,summer,Ger Bundesliga,2017,52,46,53,65,49,60,41,48,62,62,68,66,64,56,69,59,70,55,67,53,55,55,52,52,54,49,56,60,54,15,6,10,15,13
186,75,Bosnia Herzegovina,60,71,Right,1,3,2,2018,22,Centre-Forward,CF,1200000,summer,Austria Bundesliga,2017,32,61,57,56,54,58,48,31,47,60,68,64,70,45,65,65,66,63,60,52,64,11,58,47,49,48,18,16,12,15,11,11,12,11
178,73,France,60,71,Left,1,2,2,2018,22,Left-Back,LB,5000000,summer,Ligue 1,2017,60,25,46,32,31,55,31,31,26,30,71,74,64,53,69,25,71,81,72,24,69,66,41,39,40,33,59,57,68,7,16,9,10,9
182,76,Denmark,60,70,Left,1,3,2,2018,21,Centre-Forward,CF,4950000,summer,Jupiler Pro League,2017,61,65,55,54,58,56,46,44,50,61,69,68,71,51,71,61,54,57,61,46,40,24,54,52,63,60,17,30,24,12,13,10,14,7
191,75,Italy,60,70,Left,1,2,2,2017,20,Centre-Back,CB,3000000,summer,Serie A,2017,63,36,58,53,36,45,39,34,34,63,52,34,53,60,50,37,55,55,59,29,61,64,50,33,42,37,65,64,61,12,6,12,11,6
190,77,Italy,60,68,Right,1,3,2,2020,21,Centre-Back,CB,18000000,summer,Serie A,2017,35,25,56,44,36,36,38,34,36,41,55,55,34,54,55,51,72,58,58,29,47,64,33,38,47,45,61,65,67,13,12,8,6,8
169,72,Turkey,60,68,Right,1,4,3,2019,22,Left Winger,LW,1000000,summer,Ger Bundesliga,2017,51,49,33,65,47,65,50,46,48,64,68,66,79,51,87,53,80,62,42,43,41,25,48,57,57,52,28,20,26,8,14,10,14,12
169,72,Turkey,60,68,Right,1,4,3,2019,23,Left Winger,LW,1000000,winter,Ger Bundesliga,2017,51,49,33,65,47,65,50,46,48,64,68,66,79,51,87,53,80,62,42,43,41,25,48,57,57,52,28,20,26,8,14,10,14,12
180,74,Italy,60,68,Right,1,2,2,2017,21,Centre-Back,CB,2800000,summer,Serie A,2017,34,30,54,41,36,35,29,34,36,40,63,64,46,56,65,43,70,61,56,30,53,59,33,37,44,49,59,68,67,8,8,7,14,6
184,77,France,60,67,Right,1,3,3,2017,22,Right Winger,RW,1200000,summer,Ligue 1,2017,61,67,40,48,57,71,53,49,46,64,75,76,76,46,68,66,60,56,59,49,39,24,54,56,64,47,26,36,30,16,7,9,16,12
190,80,France,60,66,Left,1,2,2,2018,21,Centre-Back,CB,18000000,summer,Ligue 1,2017,59,48,59,60,39,58,32,36,55,60,63,64,56,53,56,36,70,62,74,39,68,56,34,38,44,43,59,63,57,9,14,6,8,7
185,80,Italy,60,65,Left,1,3,2,2023,23,Left-Back,LB,2800000,summer,Serie A,2017,54,23,58,56,29,54,28,30,54,55,62,69,58,56,59,54,70,57,71,33,62,56,44,37,34,68,55,64,67,8,11,11,7,14
177,61,Poland,59,80,Right,1,2,2,2019,19,Right-Back,RB,3500000,summer,Pko Bp Ekstraklasa,2017,48,22,48,58,25,54,32,31,53,53,76,80,74,48,64,26,58,63,41,30,55,54,39,39,42,38,57,59,58,11,6,13,12,6
188,77,England,59,79,Right,1,3,1,2017,20,Goalkeeper,GK,32000000,summer,Premier League,2017,15,14,25,21,23,28,16,29,19,26,33,36,45,50,52,35,58,35,51,24,35,12,5,41,28,39,12,11,19,59,57,49,54,67
184,77,Switzerland,59,78,Right,1,4,3,2020,20,Central Midfield,CM,2000000,summer,Super League,2017,54,42,52,62,41,60,51,47,64,62,65,68,66,56,69,60,63,50,58,48,49,40,58,58,55,59,46,54,49,6,12,9,7,8
172,69,Ghana,59,77,Right,1,5,3,2018,19,Right Winger,RW,5500000,summer,Austria Bundesliga,2017,56,56,44,62,57,64,48,42,52,63,69,68,69,42,83,69,55,48,48,51,34,21,54,51,50,50,33,29,35,14,13,7,14,10
172,69,Ghana,59,77,Right,1,5,3,2018,20,Right Winger,RW,5500000,winter,Ger Bundesliga,2017,56,56,44,62,57,64,48,42,52,63,69,68,69,42,83,69,55,48,48,51,34,21,54,51,50,50,33,29,35,14,13,7,14,10
185,83,Germany,59,74,Left,1,3,2,2017,20,Defensive Midfield,DM,1500000,summer,Ger Bundesliga,2017,27,27,63,42,28,33,30,24,35,39,52,50,50,52,65,38,65,55,72,31,56,53,26,30,25,49,56,64,60,7,16,15,7,13
183,70,France,59,73,Right,1,3,3,2019,20,Centre-Forward,CF,2000000,winter,Ligue 1,2017,47,51,48,60,48,64,45,44,47,63,84,82,84,42,77,71,59,49,59,32,45,22,46,58,54,54,42,47,52,8,8,7,12,14
185,76,Denmark,59,71,Left,1,3,2,2017,21,Left Midfield,LM,1000000,winter,Superliga,2017,53,59,49,57,59,62,51,53,45,60,72,69,68,48,65,61,52,63,53,58,43,34,55,47,53,53,30,32,27,15,16,15,13,11
175,70,Italy,59,67,Left,1,2,2,2018,22,Left-Back,LB,1000000,summer,Serie A,2017,60,20,56,40,30,55,37,37,36,55,67,67,60,45,62,34,62,55,55,34,45,55,35,35,48,49,59,66,63,15,10,12,7,6
175,68,England,58,76,Left,1,2,2,2020,18,Left-Back,LB,3000000,summer,Premier League,2017,55,25,41,55,28,60,47,29,40,59,62,68,59,54,73,25,58,58,44,31,59,56,37,37,40,40,57,60,58,13,13,9,12,11
175,68,England,58,76,Left,1,2,2,2020,19,Left-Back,LB,3000000,summer,Premier League,2017,55,25,41,55,28,60,47,29,40,59,62,68,59,54,73,25,58,58,44,31,59,56,37,37,40,40,57,60,58,13,13,9,12,11
170,60,Switzerland,58,72,Right,1,3,2,2017,21,Central Midfield,CM,2000000,summer,Serie A,2017,47,44,51,62,45,54,29,48,61,58,71,78,84,55,90,60,57,71,39,48,53,52,52,53,41,49,57,56,53,10,15,7,6,9
184,80,Switzerland,58,71,Right,1,3,2,2017,22,Right-Back,RB,3500000,summer,Premier League,2017,45,23,53,44,28,46,31,38,48,51,71,73,46,48,63,41,71,59,61,26,52,59,41,30,35,46,58,66,60,8,7,7,14,14
184,80,Switzerland,58,71,Right,1,3,2,2017,22,Right-Back,RB,3500000,summer,Super League,2017,45,23,53,44,28,46,31,38,48,51,71,73,46,48,63,41,71,59,61,26,52,59,41,30,35,46,58,66,60,8,7,7,14,14
187,77,Poland,58,70,Right,1,2,2,2017,20,Centre-Back,CB,4000000,summer,Pko Bp Ekstraklasa,2017,33,25,56,41,32,34,29,24,31,41,59,69,50,47,54,38,75,62,62,19,56,52,28,33,39,47,60,63,62,15,12,13,16,9
175,57,England,57,75,Right,1,3,3,2018,18,Attacking Midfield,AM,60000000,summer,Eredivisie,2017,46,54,31,56,43,56,42,47,47,55,72,62,68,45,67,61,34,54,31,58,41,32,53,61,60,56,26,34,31,11,12,13,8,12
194,84,Sweden,57,72,Right,1,3,1,2020,19,Goalkeeper,GK,3900000,winter,Premier League,2017,11,5,11,26,9,10,10,11,26,13,25,31,24,54,21,16,34,25,61,9,25,6,7,24,12,27,9,13,13,55,63,53,53,55
188,76,Scotland,57,71,Right,1,2,2,2017,22,Centre-Back,CB,1600000,winter,Scottish Premiership,2017,40,26,50,56,26,46,31,28,54,52,63,64,60,52,60,50,65,64,72,35,53,54,30,38,37,39,53,56,54,13,11,13,8,13
188,76,Scotland,57,71,Right,1,2,2,2017,22,Centre-Back,CB,3000000,summer,Scottish Premiership,2017,40,26,50,56,26,46,31,28,54,52,63,64,60,52,60,50,65,64,72,35,53,54,30,38,37,39,53,56,54,13,11,13,8,13
195,87,Germany,57,67,Right,1,2,1,2017,22,Goalkeeper,GK,3500000,summer,Ger Bundesliga,2017,20,12,12,29,17,14,18,19,27,19,24,32,22,58,24,16,51,22,63,14,20,10,6,21,22,24,20,14,15,60,53,54,51,59
185,74,Switzerland,57,66,Right,1,2,2,2019,23,Right Midfield,RM,1500000,summer,Super League,2017,32,69,60,39,45,50,34,28,31,47,71,62,57,48,59,50,62,57,56,54,31,10,54,46,63,51,11,11,13,12,13,13,12,6
178,74,Italy,57,64,Left,1,2,2,2017,22,Left-Back,LB,6000000,summer,Serie A,2017,56,33,50,35,30,58,39,43,33,41,65,59,57,57,68,35,64,59,56,32,58,60,50,43,50,41,53,64,63,14,14,15,11,12
185,75,France,57,64,Right,1,2,2,2020,22,Centre-Back,CB,1000000,summer,Jupiler Pro League,2017,28,21,51,55,30,25,29,23,48,49,61,62,46,47,58,39,71,56,57,23,46,56,26,35,37,42,54,63,55,6,10,9,7,9
179,68,Italy,56,78,Left,1,3,3,2021,19,Right Winger,RW,3700000,summer,Serie A,2017,46,39,33,59,31,59,55,44,54,63,67,69,67,50,48,50,47,53,27,51,32,47,58,55,41,54,15,43,14,10,16,16,7,11
188,78,Germany,56,75,Left,1,3,2,2019,19,Centre-Back,CB,1000000,summer,Ger Bundesliga,2017,35,26,51,49,18,38,34,31,54,54,61,64,56,48,60,62,68,56,70,35,66,49,29,42,38,45,49,56,54,6,10,10,9,14
172,72,DR Congo,56,70,Right,1,3,3,2019,22,Right Winger,RW,6000000,summer,Ger Bundesliga,2017,59,56,37,46,50,61,46,41,42,60,71,75,60,43,71,62,50,37,56,42,32,23,44,49,50,53,26,27,26,11,14,7,10,7
